"name","type","degree_length","room_and_board","in_state_tuition","out_of_state_tuition","early_career_pay","mid_career_pay","stem_percent","total_minority_percentage"
"Kansas Wesleyan University","Private","4 Year",9500,29500,29500,44700,79400,10,22.54
"Newman University","Private","4 Year",8326,30724,30724,48000,88500,11,22.43
"University of Oregon","Public","4 Year",12963,11898,35478,51800,95800,13,22.38
"Oberlin College","Private","4 Year",16338,55054,55054,53100,96800,21,22.36
"Randolph College","Private","4 Year",13580,39585,39585,47000,86100,23,22.08
"Oregon Institute of Technology","Public","4 Year",9058,9987,28056,61200,106800,27,22.00
"Brandeis University","Private","4 Year",15440,55395,55395,60600,113200,29,21.98
"Pacific Northwest College of Art","Private","4 Year",12860,38250,38250,46300,85000,0,21.97
"Oregon State University","Public","4 Year",12855,11166,30141,56200,104800,34,21.88
"University of New Haven","Private","4 Year",15900,39270,39270,52100,94800,25,21.66
"Eastern Connecticut State University","Public","4 Year",13560,11356,22596,49200,87800,14,21.52
"University of Louisville","Public","4 Year",9226,11656,27278,49500,87600,18,21.52
"University of Toledo","Public","4 Year",11434,9795,19133,51800,92500,21,21.41
"Loyola University Maryland","Private","4 Year",14430,49085,49085,59900,111200,8,21.40
"Trevecca Nazarene University","Private","4 Year",8400,25598,25598,45300,81700,5,21.30
"University of Mississippi","Public","4 Year",10696,8660,24614,48500,89100,12,21.22
"Northwestern Oklahoma State University","Public","4 Year",4780,7036,14153,42200,76800,11,21.19
"University of North Carolina School of the Arts","Public","4 Year",9021,9358,25501,46400,82400,0,21.19
"Oregon Health & Science University","Public","4 Year",0,19176,33666,65400,108300,10,21.11
"Wake Forest University","Private","4 Year",16032,53322,53322,60700,114800,13,21.03
"University of Notre Dame","Private","4 Year",15410,53391,53391,67000,130500,28,21.02
"College for Creative Studies","Private","4 Year",8800,44110,44110,51200,89800,0,20.97
"College of Saint Mary","Private","4 Year",7700,20350,20350,43900,77700,9,20.92
"Macalester College","Private","4 Year",12156,54344,54344,53600,100400,31,20.79
"Western Michigan University","Public","4 Year",10143,12483,15373,50900,92200,16,20.78
"Erskine College","Private","4 Year",10900,34560,34560,43500,78000,28,20.72
"University of Detroit Mercy","Private","4 Year",9496,28000,28000,51800,92800,13,20.71
"Northeastern University","Private","4 Year",16880,51387,51387,62500,109700,40,20.68
"University of Montevallo","Public","4 Year",9330,12760,25780,38900,70700,7,20.59
"Presbyterian College","Private","4 Year",10480,38660,38660,48800,89900,14,20.55
"Lenoir-Rhyne University","Private","4 Year",12510,36400,36400,46400,86300,7,20.54
"Bates College","Private","4 Year",15224,53794,53794,59500,111900,23,20.47
"Christopher Newport University","Public","4 Year",11460,14754,27220,50800,87200,25,20.46
"MidAmerica Nazarene University","Private","4 Year",8708,30736,30736,46200,78500,1,20.43
"Saint Louis University","Private","4 Year",12290,43884,43884,54200,95300,13,20.41
"Villanova University","Private","4 Year",14020,53308,53308,65100,119500,23,20.26
"Monmouth University","Private","4 Year",13981,38138,38138,52200,93200,13,20.22
"University of North Alabama","Public","4 Year",9200,10370,18680,43000,75600,6,20.22
"Colby College","Private","4 Year",14190,55210,55210,59200,103300,25,20.19
"Whitman College","Private","4 Year",13174,51764,51764,54600,102600,33,20.09
"University of Rochester","Private","4 Year",15938,53926,53926,61100,112700,32,20.01
"Illinois State University","Public","4 Year",9850,14516,26040,51200,95000,10,19.98
"Wentworth Institute of Technology","Private","4 Year",14190,33950,33950,62700,112700,39,19.94
"Brescia University","Private","4 Year",9200,22400,22400,44300,81200,7,19.89
"Colgate University","Private","4 Year",13995,55870,55870,68400,130600,26,19.81
"Texas Christian University","Private","4 Year",12804,46950,46950,56000,98700,9,19.74
"Marquette University","Private","4 Year",12720,41870,41870,57800,105900,25,19.66
"Medical University of South Carolina","Public","4 Year",0,26826,26826,54800,92700,6,19.63
"University of Arkansas for Medical Sciences","Public","4 Year",0,8197,15973,51700,89100,3,19.58
"Rhodes College","Private","4 Year",11403,47890,47890,51900,97800,25,19.57
"Maryville University of Saint Louis","Private","4 Year",10088,28470,28470,46800,80100,2,19.46
"Baker University","Private","4 Year",8410,29830,29830,47800,84200,2,19.45
"Lewis & Clark College","Private","4 Year",12490,50934,50934,50000,93200,12,19.41
"DePauw University","Private","4 Year",13020,49704,49704,56600,101000,24,19.28
"Whitworth University","Private","4 Year",11496,43640,43640,49900,88800,18,19.22
"Norwich University","Private","4 Year",13840,40016,40016,57000,99100,20,19.17
"University of Delaware","Public","4 Year",12862,13680,34310,58600,105400,22,19.07
"University of Utah","Public","4 Year",10262,9222,29215,54800,102600,22,19.02
"Western Oregon University","Public","4 Year",10415,9540,26415,44500,79300,5,18.91
"Florida Institute of Technology","Private","4 Year",12880,41850,41850,58300,105400,48,18.90
"Northwest Christian University","Private","4 Year",9300,30050,30050,45200,81100,5,18.87
"Kenyon College","Private","4 Year",12510,55930,55930,55000,103800,17,18.83
"University of North Georgia","Public","4 Year",7876,7336,21148,47300,85600,8,18.83
"Lehigh University","Private","4 Year",13600,52930,52930,69500,134100,52,18.82
"Illinois Institute of Technology","Private","4 Year",12762,47296,47296,64600,118500,64,18.81
"Central Michigan University","Public","4 Year",10076,12960,12960,47700,83600,13,18.76
"University of Denver","Private","4 Year",13005,50556,50556,55700,105100,12,18.74
"Walsh College of Accountancy and Business Administration","Private","4 Year",0,17625,17625,49400,85200,5,18.74
"Arkansas Tech University","Public","4 Year",7870,9068,15848,45000,76900,7,18.66
"Maryville College","Private","4 Year",11424,34880,34880,42800,75300,16,18.63
"Athens State University","Public","4 Year",0,6810,12870,45000,78800,9,18.57
"University of Rhode Island","Public","4 Year",12950,14138,30862,54500,99700,18,18.52
"Gonzaga University","Private","4 Year",11944,43210,43210,57800,107600,19,18.50
"University of Kansas","Public","4 Year",10350,11148,27358,53000,98600,16,18.50
"Lawrence University","Private","4 Year",10341,47475,47475,51500,98800,25,18.40
"Millsaps College","Private","4 Year",13730,39910,39910,49300,88700,24,18.29
"Illinois Wesleyan University","Private","4 Year",10984,47636,47636,53100,96000,18,18.28
"Southern Oregon University","Public","4 Year",13199,9654,25584,46000,81200,6,18.27
"Minneapolis College of Art and Design","Private","4 Year",5610,39210,39210,47400,84700,0,18.26
"Coe College","Private","4 Year",9480,45000,45000,47200,86900,24,18.25
"Bentley University","Private","4 Year",16320,49880,49880,66600,116600,7,18.20
"Connecticut College","Private","4 Year",15150,54820,54820,57500,100800,30,18.11
"Nazarene Bible College","Private","4 Year",0,14700,14700,33600,60100,0,18.11
"Oakland University","Public","4 Year",10100,12606,24230,51300,93300,19,18.08
"Western New England University","Private","4 Year",13590,36804,36804,56400,103000,21,18.05
"McDaniel College","Private","4 Year",11430,43260,43260,51100,94600,6,17.97
"George Fox University","Private","4 Year",11250,36020,36020,51200,89600,8,17.93
"Marylhurst University","Private","4 Year",0,20835,20835,46200,79800,0,17.91
"North Central College","Private","4 Year",11019,38880,38880,50400,92900,9,17.88
"Valparaiso University","Private","4 Year",11860,40260,40260,53300,98000,31,17.88
"Quinnipiac University","Private","4 Year",14540,47960,47960,55900,97700,10,17.86
"Eckerd College","Private","4 Year",12588,44540,44540,49200,88400,25,17.76
"Ohio Wesleyan University","Private","4 Year",12430,45760,45760,51300,99200,21,17.76
"Beloit College","Private","4 Year",8830,50040,50040,47400,85700,24,17.73
"Longwood University","Public","4 Year",11746,13340,29300,47300,83300,9,17.70
"New England Institute of Technology","Private","4 Year",13065,29940,29940,51700,93200,14,17.69
"Hendrix College","Private","4 Year",12284,45790,45790,48100,90300,33,17.60
"Lipscomb University","Private","4 Year",12652,32144,32144,49000,84800,12,17.58
"Hampden-Sydney College","Private","4 Year",13558,45746,45746,58300,108600,20,17.47
"Manchester University","Private","4 Year",9580,32758,32758,46900,84700,10,17.41
"University of Tulsa","Private","4 Year",11116,41509,41509,58700,107200,36,17.34
"Michigan State University","Public","4 Year",10322,14460,39765,55300,100800,20,17.33
"Peru State College","Public","4 Year",8010,7452,7482,42600,74800,6,17.33
"Louisiana Tech University","Public","4 Year",6495,9645,18558,53100,100700,24,17.32
"Boise State University","Public","4 Year",10692,7694,23776,50100,86400,14,17.29
"Wofford College","Private","4 Year",12685,43845,43845,51300,96600,28,17.19
"Wabash College","Private","4 Year",10050,43450,43450,62200,114400,34,17.17
"University of Charleston","Private","4 Year",9180,30900,30900,44600,81900,4,17.15
"James Madison University","Public","4 Year",10092,12016,28416,57400,102600,12,17.14
"Virginia Military Institute","Public","4 Year",9428,18862,45706,65900,120600,47,17.06
"Lafayette College","Private","4 Year",15640,52880,52880,66500,122500,47,16.86
"Washburn University","Public","4 Year",8237,8870,19940,47000,83000,4,16.86
"College of Charleston","Public","4 Year",12166,12738,31920,47300,85100,20,16.73
"Kentucky Wesleyan College","Private","4 Year",9764,26440,26440,42100,76800,14,16.64
"Freed-Hardeman University","Private","4 Year",8260,21950,21950,43700,78200,9,16.60
"Mayville State University","Public","4 Year",7840,6666,9399,43700,81300,10,16.56
"Western Carolina University","Public","4 Year",9682,4220,8220,44700,77700,8,16.55
"Multnomah University","Private","4 Year",8870,25900,25900,40500,76400,0,16.33
"Goldey-Beacom College","Private","4 Year",6400,24300,24300,49800,86900,25,16.30
"Bryant University","Private","4 Year",15702,43973,43973,60500,108600,8,16.26
"Western State Colorado University","Public","4 Year",9635,10114,21586,44800,81500,19,16.25
"William Jewell College","Private","4 Year",9930,34400,34400,51400,94500,12,16.13
"Emporia State University","Public","4 Year",8912,6758,20675,43500,78000,9,16.11
"Colorado School of Mines","Public","4 Year",13169,18964,38584,75600,139600,93,16.10
"Midland University","Private","4 Year",8776,32558,32558,43800,78100,7,16.08
"Missouri Western State University","Public","4 Year",0,6466,14137,43400,77700,14,16.08
"University of Indianapolis","Private","4 Year",10288,29688,29688,47300,84500,5,16.08
"University of Kentucky","Public","4 Year",12982,12245,29099,51700,96400,19,16.02
"Cumberland University","Private","4 Year",9290,22890,22890,45500,81000,3,16.00
"Minot State University","Public","4 Year",6610,7064,7064,44500,74100,7,15.98
"Dickinson College","Private","4 Year",13698,54661,54661,55800,100100,25,15.91
"Hamline University","Private","4 Year",10358,41298,41298,48100,90400,5,15.91
"Wittenberg University","Private","4 Year",10356,39500,39500,52400,105400,22,15.89
"Saginaw Valley State University","Public","4 Year",10186,10308,24215,46400,82200,12,15.83
"John Brown University","Private","4 Year",9224,26928,26928,47000,82700,9,15.82
"Ferris State University","Public","4 Year",9894,12630,12630,50000,89300,8,15.78
"Lyon College","Private","4 Year",9130,28790,28790,41200,74300,33,15.73
"Western Kentucky University","Public","4 Year",8343,10602,26496,45500,83100,10,15.72
"Eastern Oregon University","Public","4 Year",10040,8679,20739,44000,73900,5,15.63
"Clark University","Private","4 Year",9170,45730,45730,52600,101400,14,15.57
"Rockhurst University","Private","4 Year",10200,37590,37590,54000,92500,11,15.56
"Worcester Polytechnic Institute","Private","4 Year",14774,50530,50530,73600,135500,86,15.53
"Elon University","Private","4 Year",12230,35319,35319,53600,93700,7,15.35
"Glenville State College","Public","4 Year",0,7327,16565,37400,67700,3,15.32
"Bucknell University","Private","4 Year",13662,56092,56092,66700,122900,40,15.23
"West Virginia University Institute of Technology","Public","4 Year",11390,7464,18648,57100,103700,40,15.23
"High Point University","Private","4 Year",14130,35118,35118,48600,84300,8,15.19
"Rocky Mountain College","Private","4 Year",8330,28512,28512,46000,82900,12,15.19
"Georgetown College","Private","4 Year",9780,38650,38650,45000,81900,10,15.13
"Roanoke College","Private","4 Year",13690,44030,44030,48500,85100,18,15.12
"Samford University","Private","4 Year",10550,31650,31650,48400,90500,3,14.96
"Lake Superior State University","Public","4 Year",9882,12090,12090,45900,83500,14,14.91
"Benedictine College","Private","4 Year",10300,29530,29530,48700,91800,13,14.87
"Chadron State College","Public","4 Year",7380,7196,7196,42300,76700,3,14.87
"Kettering College","Private","4 Year",4100,16200,16200,54300,95800,0,14.87
"University of Idaho","Public","4 Year",8880,7864,25500,52300,97700,22,14.86
"Lakeview College of Nursing","Private","4 Year",0,16320,16320,55000,94100,0,14.83
"Sacred Heart University","Private","4 Year",15310,41420,41420,55000,100500,15,14.73
"Berry College","Private","4 Year",12770,36556,36556,44900,84900,21,14.70
"Corban University","Private","4 Year",10228,33040,33040,42500,77300,1,14.67
"University of Scranton","Private","4 Year",15182,44532,44532,56400,99700,12,14.62
"Jefferson College of Health Sciences","Private","4 Year",5870,26886,26886,55500,97600,1,14.59
"Bennington College","Private","4 Year",15610,54360,54360,48800,90000,5,14.57
"Campbellsville University","Private","4 Year",8000,25400,25400,37600,66800,7,14.56
"Pittsburg State University","Public","4 Year",7778,7298,18642,47100,84900,8,14.55
"University of Iowa","Public","4 Year",11172,9267,31233,54100,99400,16,14.50
"Kansas State University","Public","4 Year",9680,10263,25767,52500,97200,18,14.45
"Idaho State University","Public","4 Year",7207,7420,22940,50800,91800,12,14.42
"Maine College of Art","Private","4 Year",11890,35000,35000,36300,64600,0,14.38
"Providence College","Private","4 Year",14700,50390,50390,58900,106900,11,14.38
"Bradley University","Private","4 Year",10620,33760,33760,55600,104900,38,14.25
"Converse College","Private","4 Year",10930,18690,18690,39000,71000,8,14.25
"Belmont University","Private","4 Year",12120,34310,34310,47300,80900,3,14.20
"Weber State University","Public","4 Year",6279,5831,16585,53900,94000,8,14.20
"Champlain College","Private","4 Year",15354,41010,41010,51100,88400,14,14.17
"Prescott College","Private","4 Year",7700,31485,31485,41200,73500,0,14.15
"Ouachita Baptist University","Private","4 Year",7880,26790,26790,44100,80200,18,14.12
"University of New England","Private","4 Year",13990,37620,37620,50100,91500,7,14.12
"Shepherd University","Public","4 Year",10500,7548,18048,47100,87100,12,14.11
"Wisconsin Lutheran College","Private","4 Year",10190,29725,29725,46200,82500,10,14.08
"Stevens Institute of Technology","Private","4 Year",15244,52202,52202,75100,139900,79,14.01
"Dakota State University","Public","4 Year",6873,9276,12249,48400,84300,53,13.98
"Hastings College","Private","4 Year",9700,30050,30050,48600,87100,14,13.78
"Muhlenberg College","Private","4 Year",11765,52595,52595,53400,101900,20,13.65
"Carthage College","Private","4 Year",11990,43550,43550,48900,85400,17,13.64
"Northwest Nazarene University","Private","4 Year",7400,29300,29300,46200,80600,7,13.61
"Fort Hays State University","Public","4 Year",8300,5133,15201,45100,79300,6,13.55
"Asbury University","Private","4 Year",7160,30198,30198,39400,70800,4,13.52
"Hope College","Private","4 Year",10310,34010,34010,49200,90900,18,13.52
"West Virginia Wesleyan College","Private","4 Year",8856,31640,31640,47000,85200,21,13.43
"Centre College","Private","4 Year",10480,41700,41700,49500,88500,22,13.41
"Webb Institute","Private","4 Year",15050,50175,50175,80800,141800,100,13.33
"Kettering University","Private","4 Year",8240,43490,43490,69900,125000,74,13.32
"Ball State University","Public","4 Year",10234,9896,26468,45600,83700,7,13.29
"Fairfield University","Private","4 Year",14710,48350,48350,62300,116900,17,13.21
"Sierra Nevada College","Private","4 Year",13357,34241,34241,54000,95500,2,13.19
"Trine University","Private","4 Year",10810,32175,32175,55100,100300,26,13.14
"Bellarmine University","Private","4 Year",12250,42200,42200,49000,90700,11,13.11
"Calvin College","Private","4 Year",10200,34600,34600,50200,91100,23,13.10
"Clemson University","Public","4 Year",10832,14970,36724,57500,106700,39,13.03
"Edgewood College","Private","4 Year",11020,29500,29500,49500,87500,5,13.02
"Stonehill College","Private","4 Year",16000,42746,42746,55900,103200,18,12.96
"Lindsey Wilson College","Private","4 Year",9385,24850,24850,35300,64100,2,12.95
"Drury University","Private","4 Year",8096,28365,28365,42600,79400,12,12.93
"Dickinson State University","Public","4 Year",6898,6765,9544,46400,81200,8,12.91
"Gettysburg College","Private","4 Year",13010,54480,54480,58400,109300,24,12.91
"Maharishi University of Management","Private","4 Year",7400,16530,16530,46800,85200,65,12.86
"Gustavus Adolphus College","Private","4 Year",9910,45400,45400,51200,96800,22,12.74
"Transylvania University","Private","4 Year",10460,38750,38750,47900,85600,25,12.72
"South Dakota School of Mines and Technology","Public","4 Year",8440,9779,14021,66500,118500,92,12.69
"Rose-Hulman Institute of Technology","Private","4 Year",14766,49871,49871,75000,135800,96,12.65
"Auburn University","Public","4 Year",13332,11276,30524,54400,104500,31,12.62
"Bluefield State College","Public","4 Year",0,8820,16920,43200,72800,3,12.60
"West Virginia University","Public","4 Year",10918,8856,24950,54400,99900,22,12.50
"Cleary University","Private","4 Year",9600,20250,20250,47400,84700,0,12.48
"Northern Kentucky University","Public","4 Year",10022,10032,19680,49000,87400,12,12.36
"Goddard College","Private","4 Year",1698,16586,16586,42700,76900,0,12.27
"East Tennessee State University","Public","4 Year",8472,9277,28459,43700,77300,8,12.26
"Wayne State College","Public","4 Year",7668,6989,12299,40600,73400,11,12.25
"Milwaukee School of Engineering","Private","4 Year",10389,40749,40749,65700,117600,69,12.21
"University of Central Missouri","Public","4 Year",8766,7673,14442,46900,83300,45,12.21
"Drake University","Private","4 Year",10528,41396,41396,52800,99900,7,12.11
"Albion College","Private","4 Year",12380,45775,45775,52100,99300,23,12.07
"Carroll University","Private","4 Year",9484,31918,31918,45600,86500,14,12.07
"University of Jamestown","Private","4 Year",7570,21976,21976,47600,85400,11,12.06
"Clarkson College","Private","4 Year",5398,16920,16920,50900,91500,0,11.96
"Black Hills State University","Public","4 Year",6978,8733,11778,40400,72600,11,11.94
"Mount Carmel College of Nursing","Private","4 Year",5000,13907,13907,56600,99700,0,11.90
"Salve Regina University","Private","4 Year",14500,40550,40550,53000,93900,6,11.87
"John Carroll University","Private","4 Year",11874,41340,41340,51600,97300,16,11.85
"Iowa State University","Public","4 Year",8720,8988,23392,56100,101300,31,11.80
"University of Mount Union","Private","4 Year",10200,31260,31260,48300,88500,19,11.80
"Milligan College","Private","4 Year",7100,33700,33700,41200,74900,5,11.77
"Colby-Sawyer College","Private","4 Year",14264,42398,42398,46400,83700,7,11.76
"Northwest Missouri State University","Public","4 Year",10016,9805,16457,46900,85100,26,11.76
"Alma College","Private","4 Year",10998,40258,40258,48400,89900,15,11.75
"Mount Marty College","Private","4 Year",7986,27276,27276,41400,76500,5,11.73
"Clarkson University","Private","4 Year",14908,49444,49444,66400,130100,58,11.70
"Kentucky Christian University","Private","4 Year",8270,19820,19820,39600,70300,3,11.70
"Lewis-Clark State College","Public","4 Year",7580,6618,19236,44900,77600,5,11.64
"Southeast Missouri State University","Public","4 Year",8935,7418,13155,43700,79100,9,11.59
"Valley City State University","Public","4 Year",6446,7626,17166,39900,68600,3,11.54
"Eastern Kentucky University","Public","4 Year",9018,9296,19074,45600,80700,5,11.45
"Missouri University of Science and Technology","Public","4 Year",10274,10169,28499,67300,122600,80,11.38
"Appalachian State University","Public","4 Year",8304,7214,22021,46600,82700,9,11.37
"Murray State University","Public","4 Year",9190,9084,24540,44800,79900,9,11.33
"University of Wyoming","Public","4 Year",10320,5400,17490,52400,98800,25,11.32
"University of Vermont","Public","4 Year",12462,18276,42516,53200,99400,22,11.31
"Butler University","Private","4 Year",13830,41120,41120,51800,99300,9,11.26
"Harding University","Private","4 Year",7044,20135,20135,49200,88600,10,11.24
"University of Nebraska Medical Center","Public","4 Year",0,11558,28898,53400,93000,6,11.15
"Merrimack College","Private","4 Year",15845,41760,41760,56000,102500,13,11.12
"University of North Dakota","Public","4 Year",8974,8695,20759,53800,96000,16,11.02
"Nebraska Wesleyan University","Private","4 Year",9622,34202,34202,45700,80500,8,10.95
"Hanover College","Private","4 Year",11580,37670,37670,47500,85100,24,10.92
"West Virginia State University","Public","4 Year",11892,8167,16072,41800,76000,8,10.92
"Marshall University","Public","4 Year",10450,8128,18614,45000,79700,12,10.84
"Truman State University","Public","4 Year",8780,7729,14581,47900,85800,16,10.84
"Wartburg College","Private","4 Year",9996,41280,41280,49300,88000,34,10.84
"Thomas More College","Private","4 Year",7950,31120,31120,50000,90900,8,10.82
"University of Maine at Machias","Public","4 Year",8486,7840,15100,37100,66200,13,10.74
"Yeshiva University","Private","4 Year",12250,43500,43500,63500,112800,11,10.74
"Marietta College","Private","4 Year",11320,36040,36040,51200,94300,45,10.73
"Loras College","Private","4 Year",8275,34184,34184,48000,90100,14,10.58
"University of South Dakota","Public","4 Year",8216,9061,12425,47500,87900,8,10.55
"Dordt College","Private","4 Year",9590,30870,30870,51000,89600,17,10.49
"Lyndon State College","Public","4 Year",10598,12074,25394,41500,75100,8,10.49
"Ripon College","Private","4 Year",8400,43808,43808,46300,89600,26,10.48
"Fairmont State University","Public","4 Year",9004,7514,16324,42900,74100,7,10.46
"Roger Williams University","Private","4 Year",15890,34522,34522,52900,92700,12,10.46
"Green Mountain College","Private","4 Year",11722,37002,37002,42000,75200,2,10.32
"University of Mary","Private","4 Year",6890,18720,18720,46400,79100,3,10.32
"Carroll College","Private","4 Year",9880,35486,35486,48200,91400,25,10.28
"Franklin Pierce University","Private","4 Year",13345,36900,36900,47800,85600,3,10.24
"University of Pikeville","Private","4 Year",7800,20950,20950,39000,70700,11,10.17
"Covenant College","Private","4 Year",10260,34330,34330,44400,79400,19,9.97
"Taylor University","Private","4 Year",9614,34114,34114,48700,90600,16,9.74
"University of New Hampshire at Manchester","Public","4 Year",0,15265,30635,51900,90900,32,9.65
"Husson University","Private","4 Year",9830,18180,18180,43300,77600,1,9.60
"Wheeling Jesuit University","Private","4 Year",9900,29290,29290,44800,83400,5,9.59
"Tennessee Technological University","Public","4 Year",9736,9103,25759,53100,95100,28,9.58
"Massachusetts Maritime Academy","Public","4 Year",12675,9724,26102,67900,117500,47,9.49
"University of Wisconsin-Stout","Public","4 Year",6924,9457,17423,50400,89500,14,9.37
"University of Southern Maine","Public","4 Year",9450,9520,22780,46900,81300,8,9.34
"Saint Michael's College","Private","4 Year",12220,45375,45375,52900,98500,18,9.21
"Southern New Hampshire University","Private","4 Year",13120,31136,31136,47400,83400,8,9.16
"University of Evansville","Private","4 Year",12460,36416,36416,50300,89900,17,9.12
"University of Dayton","Private","4 Year",13580,42900,42900,57400,105000,33,9.00
"University of Northern Iowa","Public","4 Year",8948,8938,19480,47100,85300,8,8.94
"Mount Mercy University","Private","4 Year",9534,31798,31798,47200,79000,4,8.85
"Luther College","Private","4 Year",9460,42290,42290,48200,85900,21,8.81
"University of Sioux Falls","Private","4 Year",7350,18280,18280,44400,78200,6,8.81
"University of Maine","Public","4 Year",10418,11170,30970,52000,95000,24,8.80
"Winona State University","Public","4 Year",9010,9425,15348,49700,86800,10,8.73
"Ohio Northern University","Private","4 Year",11650,32260,32260,54400,103900,22,8.69
"Carson-Newman University","Private","4 Year",8810,27900,27900,42700,76500,5,8.59
"Clarke University","Private","4 Year",9600,33350,33350,44900,80200,6,8.58
"Manhattan Christian College","Private","4 Year",9092,15850,15850,39400,72200,0,8.36
"University of the Cumberlands","Private","4 Year",9000,23000,23000,39800,73800,8,8.26
"Plymouth State University","Public","4 Year",11100,14099,22769,47000,82200,6,8.18
"South Dakota State University","Public","4 Year",7896,8764,12128,50500,91900,18,8.01
"Dakota Wesleyan University","Private","4 Year",7350,27300,27300,41800,75700,10,7.70
"Northern State University","Public","4 Year",8029,8498,11471,42300,77700,7,7.70
"Keene State College","Public","4 Year",11026,14212,23176,48900,83600,8,7.52
"Central College","Private","4 Year",10280,37295,37295,49000,88800,36,7.51
"University of Maine at Presque Isle","Public","4 Year",8406,8035,12235,39000,70700,6,7.47
"West Liberty University","Public","4 Year",9406,7730,15670,42500,77000,6,7.39
"Saint Anselm College","Private","4 Year",14500,41200,41200,56400,100300,11,7.32
"Saint Joseph's College of Maine","Private","4 Year",13680,35650,35650,46900,84300,2,7.23
"University of Maine at Fort Kent","Public","4 Year",8220,8115,12315,43500,76300,5,7.23
"Vermont Technical College","Public","4 Year",10598,15108,27780,52400,93900,4,7.20
"Viterbo University","Private","4 Year",9060,27970,27970,46800,81900,3,7.20
"Morehead State University","Public","4 Year",9960,9170,13646,41300,74900,9,7.11
"University of Maine at Augusta","Public","4 Year",0,7988,17918,41600,73100,7,6.97
"Michigan Technological University","Public","4 Year",10756,15646,33726,65000,116300,81,6.92
"University of Maine at Farmington","Public","4 Year",9726,9666,19778,41100,71700,5,6.63
"Granite State College","Public","4 Year",0,9645,10875,43500,76900,3,6.61
"Morningside College","Private","4 Year",9610,31530,31530,44900,82100,6,6.16
"Montana Tech of the University of Montana","Public","4 Year",9656,7411,22574,61200,112600,61,5.42
"Thomas More College of Liberal Arts","Private","4 Year",9700,21600,21600,48900,88300,0,5.38
"West Virginia University at Parkersburg","Public","2 Year",0,6330,10920,36700,65200,3,5.09
"Allen College","Private","4 Year",7282,19970,19970,51600,91300,0,5.04
"Bellin College","Private","4 Year",0,22178,22178,55800,97600,0,3.99
"Maine Maritime Academy","Public","4 Year",10310,13478,27098,67000,121800,48,2.45
